candidat,exergue,thematique_1,thematique_2,position,detail,signes,nom_source,lien_source,date_source,theme_1,theme_2
Anne Hidalgo,"",Diplomatie,"",Revenir sur la suppression du corps diplomatique,"L'édile de gauche veut « redonner » à la diplomatie française les moyens d'exercer son influence. Ainsi, elle compte revenir sur la décision prise par Emmanuel Macron de supprimer le corps diplomatique « qui affaiblit la France ». ",pos.: 48 | détail:231,Programme,https://www.2022avechidalgo.fr/notre_programme,"",International,""
Anne Hidalgo,"",Lutte contre le réchauffement climatique,Diplomatie,Organiser un sommet mondial « Paris+10 » en 2025,"Dix ans après l'Accord de Paris sur le climat signé en 2015, Anne Hidalgo souhaite organiser un sommet mondial « Paris+10 » en 2025, afin de « réaffirmer le rôle moteur » de la France et de l’Europe dans la lutte internationale contre le dérèglement climatique.",pos.: 48 | détail:261,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Environnement,International
Anne Hidalgo,Lutte contre le Covid-19,Santé,"",Lever les brevets des vaccins contre le Covid-19,La maire de Paris souhaite faire pression sur les laboratoires pour obtenir la levée « temporaire » des brevets sur les vaccins contre le Covid-19.,pos.: 48 | détail:147,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Société,""
Anne Hidalgo,Héritage et transmission de patrimoine,Fiscalité,Taxes,Exonérer les successions jusqu'à 300 000 euros,"La candidate du PS souhaite qu'il n'y ait pas de droits de succession en dessous de 300 000 euros, soit « rien à payer pour 95 des Français ». Elle souhaite aussi augmenter les impôts sur les successions pour les très hauts patrimoines supérieurs à 2 millions d’euros.",pos.: 46 | détail:270,France 2,https://twitter.com/Anne_Hidalgo/status/1486088623892189195,25 janvier 2022,Economie,Economie
Anne Hidalgo,Crise entre la Russie et l'Ukraine,Diplomatie,Russie,Ne pas hésiter à sanctionner lourdement le régime à Moscou,"Dans cette crise, la candidate socialiste prône une solution européenne. L’Europe doit parler d’une voix ferme à Moscou pour faire clairement comprendre que la déstabilisation de l’Ukraine – et de l’Europe – aurait des conséquences importantes. Nous n’hésiterons pas à sanctionner lourdement le régime à Moscou, a-t-elle déclaré début janvier.","",Le Monde,https://www.lemonde.fr/politique/article/2022/02/07/presidentielle-2022-ligne-de-fracture-a-gauche-sur-la-question-russe_6112698_823448.html,"",International,International
Christiane Taubira,Héritage et transmission de patrimoine,Patrimoine,Fiscalité,Exonérer les successions jusqu'à 200 000 euros,La candidate de la Primaire populaire souhaite qu'il n'y ait pas de droits de succession en dessous de 200 000 euros. Elle veut également supprimer les niches fiscales qui bénéficient « avant tout » aux hauts patrimoines pour que ceux qui ne paient en moyenne « que 10 d’impôt » soient taxés à 45 .,pos.: 46 | détail:300,Programme,https://www.avectaubira.fr/pour-le-travail-la-justice-sociale/#successions,"",Culture,Economie
Christiane Taubira,Impôt sur les grandes fortunes,Patrimoine,Fiscalité,Créer un impôt sur « l’extrême richesse »,"Elle appelle de ses vœux la création d'un « impôt sur l’extrême richesse », un ISF modifié qui imposera des patrimoines qui, depuis des décennies, échappent à l’impôt. Avec un taux d’imposition progressif, les patrimoines supérieurs à 10 millions d’euros seront imposés à hauteur de 1 , explique-t-elle. À partir de 100 millions d’euros, un taux d’imposition de 2 sera appliqué sur ces foyers. Au-delà d’un milliard d’euros, le taux d’imposition sur l’extrême richesse atteindra 3 .",pos.: 41 | détail:488,Programme,https://www.avectaubira.fr/pour-le-travail-la-justice-sociale/#successions,"",Culture,Economie
Christiane Taubira,Evolution du smic,Emploi,Pouvoir d'achat,Augmenter le smic à hauteur de 1400 euros net,"Comme « premier acte » de son quinquennat, l'ancienne ministre de la justice souhaite une revalorisation générale des bas salaires et du smic à hauteur de 1 400 euros net. Elle compte également réunir « immédiatement » une conférence sur les bas salaires.",pos.: 45 | détail:255,Programme,https://www.avectaubira.fr/pour-le-travail-la-justice-sociale/,"",Economie,Social
Christiane Taubira,Montant des salaires,Emploi,Entreprises et industrie,Pénaliser les entreprises qui n'augmentent pas les salaires,"La candidate de gauche entend punir les entreprises qui refuseront de négocier et d’augmenter les rémunérations. Elles ne toucheront plus d’aides publiques et ne bénéficieront plus d’exonération de cotisations sociales, promet Christiane Taubira. ",pos.: 59 | détail:247,Programme,https://www.avectaubira.fr/pour-le-travail-la-justice-sociale/,"",Economie,Economie
Christiane Taubira,Lutte contre la précarité étudiante,Emploi,Précarité,Instaurer un revenu mensuel de 800 euros pour les jeunes,"L'ex-garde des sceaux veut créer « une dotation pour l’autonomie des jeunes » qui garantira à chacun pendant cinq ans 800 euros mensuels. Elle souhaite également prendre en charge 100 des coûts d’études pour les 850 000 jeunes sans emploi ni études. Enfin, elle propose d'accorder un capital de projet de 20 000 euros maximum aux jeunes qui veulent lancer leur activité, et qui sera géré par une agence des jeunesses de France.",pos.: 56 | détail:431,Programme,https://www.avectaubira.fr/pour-emancipation-des-jeunes/#RevenuMensuel,"",Economie,Economie
Christiane Taubira,Minima sociaux,Prestations sociales,Jeunes,Etendre le RSA aux jeunes dès l’âge de 18 ans. ,"Afin de sortir les jeunesses défavorisées de la précarité, la candidate de gauche souhaite étendre le RSA aux jeunes sans ressources dès l’âge de 18 ans. ",pos.: 47 | détail:156,Programme,https://www.avectaubira.fr/pour-emancipation-des-jeunes/#RevenuMensuel,"",Social,Social
Christiane Taubira,"",Ecole et petite enfance,Système éducatif,Appliquer la carte scolaire à l'école privée,"Puisque la mixité sociale « n’est pas négociable », la lauréate de la Primaire populaire estime que l’enseignement privé sous contrat, « désormais financé par les fonds publics », doit entrer dans la carte scolaire. Elle entend aussi faire respecter les valeurs et les principes de la République aux écoles privées hors contrat. ",pos.: 44 | détail:329,Programme,https://www.avectaubira.fr/pour-la-promesse-republicaine/,"",Education,Education
